,Word,Count,Frequency,Percent
0,firms,547,0.015384182697716279,1.5384182697716278
1,entrepreneurship,461,0.012965462931713353,1.2965462931713352
2,ecosystem,347,0.009759253009337384,0.9759253009337384
3,figure,343,0.009646754415569805,0.9646754415569805
4,romania,325,0.009140510743615705,0.9140510743615705
5,startups,316,0.008887388907638655,0.8887388907638655
6,percent,310,0.008718641016987288,0.8718641016987287
7,startup,228,0.00641241984475194,0.641241984475194
8,programs,227,0.006384295196310046,0.6384295196310046
9,business,217,0.006103048711891101,0.6103048711891101
10,romanian,193,0.005428057149285634,0.5428057149285634
11,enablers,185,0.005203059961750478,0.5203059961750478
12,innovation,182,0.005118686016424795,0.5118686016424795
13,support,172,0.00483743953200585,0.483743953200585
14,digital,168,0.004724940938238272,0.47249409382382723
15,policy,160,0.004499943750703116,0.4499943750703116
16,world,159,0.004471819102261221,0.44718191022612214
17,chapter,159,0.004471819102261221,0.44718191022612214
18,sample,157,0.0044155698053774325,0.4415569805377433
19,ecosystems,153,0.004303071211609855,0.4303071211609855
20,bank,152,0.00427494656316796,0.427494656316796
21,tech,151,0.004246821914726066,0.4246821914726066
22,public,145,0.004078074024074699,0.4078074024074699
23,new,136,0.003824952188097649,0.3824952188097649
24,access,135,0.003796827539655754,0.37968275396557544
25,technology,120,0.0033749578130273373,0.3374957813027337
26,capital,120,0.0033749578130273373,0.3374957813027337
27,manufacture,120,0.0033749578130273373,0.3374957813027337
28,highpotential,118,0.003318708516143548,0.3318708516143548
29,growth,116,0.0032624592192597593,0.32624592192597596
30,analysis,115,0.003234334570817865,0.3234334570817865
31,services,111,0.003121835977050287,0.3121835977050287
32,european,110,0.0030937113286083925,0.3093711328608392
33,sector,109,0.003065586680166498,0.3065586680166498
34,source,109,0.003065586680166498,0.3065586680166498
35,activities,108,0.0030374620317246033,0.3037462031724603
36,share,97,0.002728090898863764,0.2728090898863764
37,entrepreneurs,97,0.002728090898863764,0.2728090898863764
38,high,96,0.0026999662504218697,0.26999662504218697
39,research,96,0.0026999662504218697,0.26999662504218697
40,rd,94,0.002643716953538081,0.2643716953538081
41,quality,94,0.002643716953538081,0.2643716953538081
42,program,93,0.0026155923050961865,0.26155923050961866
43,development,92,0.0025874676566542917,0.25874676566542915
44,group,92,0.0025874676566542917,0.25874676566542915
45,local,91,0.0025593430082123973,0.25593430082123975
46,eu,91,0.0025593430082123973,0.25593430082123975
47,survey,90,0.002531218359770503,0.2531218359770503
48,university,87,0.0024468444144448193,0.24468444144448193
49,market,86,0.002418719766002925,0.2418719766002925
50,finance,83,0.0023343458206772417,0.23343458206772416
51,instruments,81,0.0022780965237934525,0.22780965237934525
52,resources,80,0.002249971875351558,0.2249971875351558
53,key,78,0.0021937225784677693,0.21937225784677694
54,knowledge,77,0.0021655979300258745,0.21655979300258746
55,businesses,77,0.0021655979300258745,0.21655979300258746
56,note,75,0.0021093486331420857,0.21093486331420858
57,however,74,0.0020812239847001913,0.20812239847001912
58,total,73,0.002053099336258297,0.2053099336258297
59,report,72,0.0020249746878164025,0.20249746878164024
60,supporting,72,0.0020249746878164025,0.20249746878164024
61,economic,72,0.0020249746878164025,0.20249746878164024
62,funding,72,0.0020249746878164025,0.20249746878164024
63,firm,72,0.0020249746878164025,0.20249746878164024
64,region,71,0.0019968500393745077,0.19968500393745076
65,data,70,0.0019687253909326133,0.19687253909326133
66,recommendations,69,0.0019406007424907189,0.1940600742490719
67,many,69,0.0019406007424907189,0.1940600742490719
68,human,68,0.0019124760940488245,0.19124760940488245
69,years,67,0.0018843514456069299,0.188435144560693
70,panel,67,0.0018843514456069299,0.188435144560693
71,table,65,0.0018281021487231409,0.18281021487231408
72,markets,65,0.0018281021487231409,0.18281021487231408
73,regions,64,0.0017999775002812465,0.17999775002812465
74,number,63,0.001771852851839352,0.1771852851839352
75,across,62,0.0017437282033974575,0.17437282033974574
76,regulations,60,0.0016874789065136687,0.16874789065136686
77,average,60,0.0016874789065136687,0.16874789065136686
78,entrepreneurial,59,0.001659354258071774,0.1659354258071774
79,countries,59,0.001659354258071774,0.1659354258071774
80,among,58,0.0016312296096298797,0.16312296096298798
81,private,58,0.0016312296096298797,0.16312296096298798
82,per,58,0.0016312296096298797,0.16312296096298798
83,education,57,0.001603104961187985,0.1603104961187985
84,network,56,0.0015749803127460907,0.15749803127460907
85,low,56,0.0015749803127460907,0.15749803127460907
86,including,55,0.0015468556643041963,0.1546855664304196
87,vc,55,0.0015468556643041963,0.1546855664304196
88,factors,55,0.0015468556643041963,0.1546855664304196
89,within,55,0.0015468556643041963,0.1546855664304196
90,innovative,54,0.0015187310158623017,0.15187310158623016
91,used,53,0.0014906063674204073,0.14906063674204073
92,country,53,0.0014906063674204073,0.14906063674204073
93,skills,53,0.0014906063674204073,0.14906063674204073
94,potential,53,0.0014906063674204073,0.14906063674204073
95,information,52,0.0014624817189785129,0.14624817189785128
96,use,52,0.0014624817189785129,0.14624817189785128
97,highgrowth,52,0.0014624817189785129,0.14624817189785128
98,manufacturing,52,0.0014624817189785129,0.14624817189785128
99,romania’s,52,0.0014624817189785129,0.14624817189785128
100,refers,52,0.0014624817189785129,0.14624817189785128
101,small,51,0.0014343570705366182,0.14343570705366182
102,national,50,0.0014062324220947239,0.1406232422094724
103,hightech,49,0.0013781077736528292,0.1378107773652829
104,budget,49,0.0013781077736528292,0.1378107773652829
105,target,49,0.0013781077736528292,0.1378107773652829
106,infrastructure,48,0.0013499831252109348,0.13499831252109348
107,important,48,0.0013499831252109348,0.13499831252109348
108,oecd,48,0.0013499831252109348,0.13499831252109348
109,characteristics,47,0.0013218584767690405,0.13218584767690406
110,based,47,0.0013218584767690405,0.13218584767690406
111,institutions,46,0.0012937338283271458,0.12937338283271457
112,investment,46,0.0012937338283271458,0.12937338283271457
113,well,45,0.0012656091798852514,0.12656091798852515
114,lack,45,0.0012656091798852514,0.12656091798852515
115,improve,45,0.0012656091798852514,0.12656091798852515
116,founders,45,0.0012656091798852514,0.12656091798852515
117,reported,45,0.0012656091798852514,0.12656091798852515
118,identified,44,0.001237484531443357,0.1237484531443357
119,indicators,44,0.001237484531443357,0.1237484531443357
120,terms,44,0.001237484531443357,0.1237484531443357
121,performance,43,0.0012093598830014624,0.12093598830014625
122,commission,42,0.001181235234559568,0.11812352345595681
123,need,42,0.001181235234559568,0.11812352345595681
124,social,42,0.001181235234559568,0.11812352345595681
125,limited,42,0.001181235234559568,0.11812352345595681
126,young,42,0.001181235234559568,0.11812352345595681
127,type,41,0.0011531105861176734,0.11531105861176734
128,objectives,41,0.0011531105861176734,0.11531105861176734
129,mix,41,0.0011531105861176734,0.11531105861176734
130,organizations,41,0.0011531105861176734,0.11531105861176734
131,although,41,0.0011531105861176734,0.11531105861176734
132,international,40,0.001124985937675779,0.1124985937675779
133,regional,40,0.001124985937675779,0.1124985937675779
134,top,40,0.001124985937675779,0.1124985937675779
135,design,40,0.001124985937675779,0.1124985937675779
136,government,40,0.001124985937675779,0.1124985937675779
137,demand,40,0.001124985937675779,0.1124985937675779
138,financial,39,0.0010968612892338846,0.10968612892338847
139,collaboration,39,0.0010968612892338846,0.10968612892338847
140,main,39,0.0010968612892338846,0.10968612892338847
141,sectors,39,0.0010968612892338846,0.10968612892338847
142,employees,39,0.0010968612892338846,0.10968612892338847
143,bucharestilfov,39,0.0010968612892338846,0.10968612892338847
